k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 0, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 2, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 1, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 1, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 0, a13 = -3, a21 = 0, a22 = -2, a23 = -2, a31 = -1, a32 = 0, a33 = -1, b12 = -1, b13 = -8, b23 = -8
k1 = 1, k2 = 4, k3 = 6, a11 = -4, a12 = 0, a13 = -3, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = -4, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -2, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = -4, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = -1, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -5, a12 = 0, a13 = -4, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -1, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = -4, a21 = 0, a22 = -2, a23 = 0, a31 = -2, a32 = 0, a33 = -1, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -5, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = -2, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = 2, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = -3, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = -5, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -4, a33 = -2, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -3, a33 = -3, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -2, a33 = -4, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -5, a33 = -1, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -6, a33 = 0, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -4, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -6, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -7, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = -2, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -5, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = -4, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -6, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -1, a33 = -3, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -6, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -2, a33 = -2, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -5, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -3, a33 = -2, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -5, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = -2, a33 = -3, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 5, a11 = -6, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -1, a32 = 0, a33 = -4, b12 = -1, b13 = -16, b23 = -8
k1 = 1, k2 = 3, k3 = 6, a11 = -6, a12 = 0, a13 = 0, a21 = 0, a22 = -2, a23 = 0, a31 = -2, a32 = 0, a33 = 0, b12 = -1, b13 = -40, b23 = -9
